Trddt,factor_return,tvalue,IC
2010-01-06,-0.0004975027560346334,-0.565484751760751,-0.008142883612051167
2010-01-07,0.002502177653727745,3.3712267133326876,0.04886992353314534
2010-01-08,-0.0028076758319825084,-2.6068597720342828,-0.03759674242005213
2010-01-11,-0.0005230219809039518,-0.4119559340080289,-0.005944232641475806
2010-01-12,-0.003138662597240132,-2.624245073057068,-0.038070764283903664
2010-01-13,0.001010978996273146,0.9490756332779385,0.01366968264001537
2010-01-14,-0.0025509407543105574,-3.3308993760087295,-0.048735198833289105
2010-01-15,-0.0014719716546363372,-1.2708504626557484,-0.018316979514513106
2010-01-18,-0.0028358401430426147,-2.3123820402006285,-0.03344236886603138
2010-01-19,-0.0010462532704911668,-1.2113211539222524,-0.01744384859213445
2010-01-20,0.004549957576856237,2.5749088333254444,0.037131965196815754
2010-01-21,-0.0009374683558632997,-0.8922409449864024,-0.012871487904818358
2010-01-22,0.0017105743244945017,1.9604027943925149,0.02851420233187723
2010-01-25,0.0017052257015228469,2.2812164046815417,0.0329722403707021
2010-01-26,0.003972730107439111,3.624180698376682,0.05254231698497525
2010-01-27,0.0011471744008600614,2.0531918414679957,0.029629553697287765
2010-01-28,-0.0018094812351666279,-2.0171519123518955,-0.029165555378201497
2010-01-29,-0.0008572991637635441,-1.2897516980888908,-0.01861454097407514
2010-02-01,0.00167476802760261,2.046735959188049,0.029585703631049114
2010-02-02,-0.00031620350606960477,-0.27798896572620774,-0.0040031434863117684
2010-02-03,-0.0034495583440693547,-3.715327784761056,-0.05373202544930695
2010-02-04,-0.0012286819152667956,-1.0470890244923776,-0.015127957726436285
2010-02-05,0.0025300218563993645,3.013336661059529,0.04364819528482733
2010-02-08,-0.0007916212314961384,-0.7746206833171992,-0.01116199665272632
2010-02-09,-0.0003538043158138484,-0.32762115694234833,-0.004719734622349942
2010-02-10,-0.0008383766911244928,-0.7840009707120134,-0.011361141452910296
2010-02-11,0.00028451519693160215,0.4659030549667825,0.006709649328811341
2010-02-12,-0.0016045725153596988,-2.356938337024841,-0.0342267652192644
2010-02-22,-0.0004020332897982964,-0.9705425809662136,-0.013973974833510436
2010-02-23,-0.0013544293944428077,-1.7869047447183786,-0.025775990160909912
2010-02-24,-0.002880664859852942,-3.4145532443709112,-0.0497971481119451
2010-02-25,-0.0029213463353473497,-2.9524531166828174,-0.042651829051991386
2010-02-26,0.002992869633516803,1.5737431841512617,0.022673898530135725
2010-03-01,-0.0012229576342500013,-0.8004547734764602,-0.011567744227933333
2010-03-02,-0.0002261936074404946,-0.22404598894883826,-0.0032267794032270584
2010-03-03,-0.002644019245325513,-1.897426408125015,-0.027431455808268272
2010-03-04,0.003229390246065112,3.035371334799543,0.04411577889760636
2010-03-05,-0.000799563370821601,-0.9783479035350955,-0.01409817697396542
2010-03-08,-0.00029047004079393694,-0.21973558938835452,-0.003175869067279819
2010-03-09,-0.00032274636058616125,-0.4019611906447291,-0.005791324527200468
2010-03-10,0.0009821152689085517,1.8572120669817735,0.02690880637613488
2010-03-11,0.0006269065099096421,1.0504688474544814,0.015124862664252657
2010-03-12,0.0014251008274886962,2.1614329065372426,0.031315347362325475
2010-03-15,0.0010582930167927465,1.2595589291058962,0.018141758897191947
2010-03-16,-0.0014641106530181528,-1.5534170427838614,-0.02242318024581619
2010-03-17,-0.0029900203143569722,-4.8154656232841075,-0.07060103610109375
2010-03-18,-0.0012326031162997399,-0.9115217080367704,-0.013139329340203978
2010-03-19,-0.0017429837481603727,-1.3703304726533325,-0.01975376513252766
2010-03-22,-0.001158537660103816,-0.9040514010751273,-0.013034344038299067
2010-03-23,0.0004989825714976335,0.3514494017753505,0.005062956261321768
2010-03-24,-0.00024063162610208223,-0.17921501562709471,-0.002582638403694544
2010-03-25,0.0016363251525192057,1.1144984170716368,0.016050595267601945
2010-03-26,-0.002361388261574195,-1.1795928480899802,-0.017022123474762854
2010-03-29,-0.001630059707147889,-1.1366395356881176,-0.01640486309455165
2010-03-30,0.0008319656794462181,0.5537796514225135,0.007982341418126322
2010-03-31,4.606318125920236e-05,0.02557850570805712,0.0003688661457972811
2010-04-01,-0.002924743555900538,-2.3307254160478856,-0.03374011860639647
2010-04-02,-0.0010738116616289702,-0.7612549158888692,-0.01096883737370235
2010-04-06,0.000471647417653235,0.4355050877043903,0.006278540714646694
2010-04-07,-0.0004705112362513407,-0.3826761726673668,-0.005514110329247939
